Serial No.,College Name,Department,Location
237,Sri Venkateswara College of Engineering - [SVCE],No data found,No data found
238,Thadomal Shahani Engineering College - [TSEC],No data found,No data found
239,Velammal Engineering College - [VEC],No data found,No data found
240,Oriental University - [OU],No data found,No data found
241,University of Science and Technology - [USTM],No data found,No data found
242,Guru Kashi University,No data found,No data found
243,Noida International University - [NIU],No data found,No data found
244,Central Institute of Technology - [CIT],No data found,No data found
245,Vidyalankar Institute of Technology - [VIT],No data found,No data found
246,Madhav University - [MU],No data found,No data found
247,Graphic Era Hill University - [GEHU],"Graphic Era Hill University Dehradun Campus, School of Engineering and Technology","Dehradun, Uttarakhand"
247,Graphic Era Hill University - [GEHU],"Graphic Era Hill University Dehradun Campus, School of Law","Dehradun, Uttarakhand"
247,Graphic Era Hill University - [GEHU],"Graphic Era Hill University Dehradun Campus, School of Management","Dehradun, Uttarakhand"
248,University of Engineering and Management - [UEM],No data found,No data found
249,Mangalayatan University,No data found,No data found
250,Assam down town University - [ADTU],No data found,No data found
251,Amity University,No data found,No data found
252,GSFC University,No data found,No data found
253,Federal Institute of Science and Technology - [FISAT],No data found,No data found
254,Galgotias College of Engineering and Technology - [GCET],No data found,No data found
255,Global Academy of Technology - [GAT],No data found,No data found
256,HKBK Group of Institutions,No data found,No data found
257,Sri Vasavi Engineering College - [SVEC],No data found,No data found
258,Uka Tarsadia University,"Bhulabhai Vanmalibhai Patel Institute Of Commerce, Uka Tarsadia University","Bardoli, Gujarat"
258,Uka Tarsadia University,"Chhotubhai Gopalbhai Patel Institute of Technology, Uka Tarsadia University - [CGPIT]","Bardoli, Gujarat"
258,Uka Tarsadia University,"C. G. Bhakta Institute of Biotechnology, Uka Tarsadia University - [CGBIBT]","Bardoli, Gujarat"
258,Uka Tarsadia University,"Raman Bhakta School of Architecture, Uka Tarsadia University - [RBSA]","Bardoli, Gujarat"
258,Uka Tarsadia University,"Babu Madhav Institute of Information Technology, Uka Tarsadia University - [BMIIT]","Bardoli, Gujarat"
258,Uka Tarsadia University,"Godavariba School of Interior Design, Uka Tarsadia University -[GSID]","Bardoli, Gujarat"
258,Uka Tarsadia University,"Maliba Pharmacy College, Uka Tarsadia University - [MPC]","Bardoli, Gujarat"
258,Uka Tarsadia University,"Jaymin School Of Fashion Design & Technology, Uka Tarsadia University - [JFDT]","Bardoli, Gujarat"
258,Uka Tarsadia University,"Shrimad Rajchandra College of Physiotherapy, Uka Tarsadia University - [SRCP]","Bardoli, Gujarat"
258,Uka Tarsadia University,"Bhulabhai Vanmalibhai Patel Institute Of Computer Science, Uka Tarsadia University","Bardoli, Gujarat"
258,Uka Tarsadia University,"Bhulabhai Vanmalibhai Patel Institute Of Management, Uka Tarsadia University","Bardoli, Gujarat"
259,AKS University - [AKSU],No data found,No data found
260,ITM University,"ITM University, School of Management","Gwalior, Madhya Pradesh"
260,ITM University,"ITM University, School of Law","Gwalior, Madhya Pradesh"
260,ITM University,"School of Engineering and Technology, ITM University","Gwalior, Madhya Pradesh"
260,ITM University,"ITM University, School of Nursing Sciences","Gwalior, Madhya Pradesh"
260,ITM University,"ITM University, School of Agriculture","Gwalior, Madhya Pradesh"
261,Jagannath University,No data found,No data found
262,Babu Banarasi Das University - [BBDU],"Babu Banarasi Das University, School of Engineering - [SOE]","Lucknow, Uttar Pradesh"
262,Babu Banarasi Das University - [BBDU],"Babu Banarasi Das University, School of Management - [SOM]","Lucknow, Uttar Pradesh"
262,Babu Banarasi Das University - [BBDU],"Babu Banarasi Das University, School of Computer Applications - [SCA]","Lucknow, Uttar Pradesh"
262,Babu Banarasi Das University - [BBDU],Babu Banarasi Das College of Dental Sciences - [BBDCODS],"Lucknow, Uttar Pradesh"
262,Babu Banarasi Das University - [BBDU],"Babu Banarasi Das University, School of Hotel Management - [SHM]","Lucknow, Uttar Pradesh"
262,Babu Banarasi Das University - [BBDU],"School of Business Management, Babu Banarasi Das University - [SBM]","Lucknow, Uttar Pradesh"
262,Babu Banarasi Das University - [BBDU],"Babu Banarasi Das University, School Of Legal Studies - [SLS]","Lucknow, Uttar Pradesh"
263,JIS College of Engineering - [JISCE],No data found,No data found
264,Rayat Bahra University,No data found,No data found
265,Amity University,No data found,No data found
266,IILM University,No data found,No data found
267,Cambridge Institute of Technology - [CiTech],No data found,No data found
268,RC Patel Institute of Technology - [RCPIT],No data found,No data found
269,St. Francis Institute of Technology - [SFIT],No data found,No data found
270,ICFAI University,No data found,No data found
271,Atharva College of Engineering,No data found,No data found
272,Don Bosco Institute of Technology - [DBIT],No data found,No data found
273,GNIOT Group of Institutions - [GNIOT],No data found,No data found
274,Jeppiaar Engineering College,No data found,No data found
275,Karpagam College of Engineering - [KCE],No data found,No data found
276,KIET Group of Institutions - [KIET],No data found,No data found
277,PES College of Engineering - [PESCOE],No data found,No data found
278,Raghu Engineering College - [REC],No data found,No data found
279,Symbiosis Institute of Technology - [SIT],No data found,No data found
280,Terna Engineering College Navi Mumbai,No data found,No data found
281,Vivekanand Education Society Institute of Technology - [VESIT],No data found,No data found
282,Sreenidhi Institute of Science and Technology - [SNIST],No data found,No data found
283,Paavai Engineering College (Autonomous),No data found,No data found
284,Assam Don Bosco University - [ADBU],No data found,No data found
285,RK University - [RKU],"RK University, School of Engineering","Rajkot, Gujarat"
285,RK University - [RKU],"RK University, School of Management","Rajkot, Gujarat"
285,RK University - [RKU],"R. K. University, School of Pharmacy","Rajkot, Gujarat"
286,Baddi University of Emerging Sciences and Technologies - [BUEST],No data found,No data found
287,Sai Nath University,No data found,No data found
288,GITAM,No data found,No data found
289,Yenepoya University,No data found,No data found
290,DAV University,No data found,No data found
291,Pacific University,No data found,No data found
292,ICFAI University,No data found,No data found
293,KCG College of Technology,No data found,No data found
294,Silicon Institute of Technology - [SIT],No data found,No data found
295,Birla Institute of Technology - [BIT],No data found,No data found
296,Birla Global University - [BGU],No data found,No data found
297,GITAM,No data found,No data found
298,Medi-Caps University,No data found,No data found
299,GNA University,"Faculty of Engineering and Technology, GNA University","Jalandhar, Punjab"
300,Mahindra University,No data found,No data found
301,The Neotia University - [TNU],No data found,No data found
302,Starex University,No data found,No data found
303,Institute of Engineering and Science - [IES],No data found,No data found
304,GIFT Autonomous,No data found,No data found
305,Parul University,No data found,No data found
306,Dr. C.V. Raman University - [CVRU],No data found,No data found
307,Jigyasa University (Formerly Himgiri Zee University),No data found,No data found
308,Jagran Lakecity University - [JLU],No data found,No data found
309,ACS College of Engineering - [ACSCE],No data found,No data found
310,Adhiyamaan College of Engineering,No data found,No data found
311,Ajay Kumar Garg Engineering College - [AKGEC],No data found,No data found
312,Atria Institute of Technology,Atria School of Management & Entrepreneurship,"Bangalore, Karnataka"
313,Bhubaneswar Engineering College - [BEC],No data found,No data found
314,College of Engineering Bhubaneswar - [COEB],No data found,No data found
315,Guru Tegh Bahadur Institute of Technology - [GTBIT],No data found,No data found
316,Krishna Engineering College - [KEC],No data found,No data found
317,Meerut Institute of Engineering and Technology - [MIET],No data found,No data found
318,RNS Institute of Technology - [RNSIT],No data found,No data found
319,Raj Kumar Goel Institute of Technology - [RKGIT],No data found,No data found
320,Rajeev Gandhi Memorial College of Engineering and Technology Nandyal - [RGMCET],No data found,No data found
321,Rizvi College of Engineering - [RCOE],No data found,No data found
322,S.A. Engineering College,No data found,No data found
323,Sir M Visvesvaraya Institute of Technology - [Sir MVIT],No data found,No data found
324,St Martin's Engineering College - [SMEC],No data found,No data found
325,"Swami Keshvanand Institute of Technology, Management and Gramothan - [SKIT]",No data found,No data found
326,Arka Jain University,No data found,No data found
327,Maharishi Markandeshwar - [MMU],No data found,No data found
328,Nitte University - [NITTE],Nitte Institute of Speech and Hearing - [NISH],"Mangalore, Karnataka"
328,Nitte University - [NITTE],Nitte Institute of Communication - [NICO],"Mangalore, Karnataka"
328,Nitte University - [NITTE],Nitte Institute of Architecture - [NIA],"Mangalore, Karnataka"
329,MIT Academy of Engineering - [MITAOE],No data found,No data found
330,Vivekananda Global University - [VGU],No data found,No data found
331,Shri Ramswaroop Memorial University - [SRMU],No data found,No data found
332,Amity University,No data found,No data found
333,Chandigarh Group of Colleges - [CGC] Jhanjeri,No data found,No data found
334,PSG Institute of Technology and Applied Research - [PSG iTech],No data found,No data found
335,XIM University,No data found,No data found
336,Swami Vivekanand University,No data found,No data found
337,Mahaveer Institute of Engineering & Technology - [MIET],No data found,No data found
338,Anant National University - [AnantU],No data found,No data found
339,Atmiya University,No data found,No data found
340,Acropolis Group of Institutions,No data found,No data found
341,Echelon Institute of Technology,No data found,No data found
342,AISSMS College of Engineering - [AISSMSCOE],No data found,No data found
343,Amal Jyothi College of Engineering - [AJCE],No data found,No data found
344,Bengal Institute of Technology - [BIT],No data found,No data found
345,Bhagwan Parshuram Institute of Technology - [BPIT],No data found,No data found
346,Bhilai Institute of Technology - [BIT],No data found,No data found
347,Canara Engineering College - [CEC],No data found,No data found
348,DKTE Society's Textile and Engineering Institute - [DKTE],No data found,No data found
349,East West Institute of Technology - [EWIT],No data found,No data found
350,GS Mandal's Marathwada Institute of Technology - [MIT],No data found,No data found
351,Hindustan College of Engineering - [HCE],No data found,No data found
352,IMS Engineering College - [IMSEC],No data found,No data found
353,Jayawantrao Sawant College of Engineering- [JSCOE],No data found,No data found
354,Jerusalem College of Engineering - [JCE],No data found,No data found
355,Keshav Memorial Institute of Technology - [KMIT],No data found,No data found
356,MIT-WPU Faculty of Engineering,No data found,No data found
357,Maharashtra Institute of Technology - [MIT],No data found,No data found
358,Mahendra Engineering College,No data found,No data found
359,Malnad College of Engineering - [MCE],No data found,No data found
360,Marian Engineering College - [MEC],No data found,No data found
361,Dr. Akhilesh Das Gupta Institute of Technology & Management - [ADGITM],No data found,No data found
362,Pillai College of Engineering - [PCE] Navi Mumbai,No data found,No data found
363,Poornima College of Engineering,No data found,No data found
364,Pune Institute of Computer Technology- [PICT],No data found,No data found
365,SNS College of Engineering - [SNSCE],No data found,No data found
366,Saintgits College of Engineering,No data found,No data found
367,Saranathan College of Engineering - [SCE],No data found,No data found
368,Sardar Vallabhbhai Patel Institute of Technology - [SVIT] Vasad,No data found,No data found
369,Sethu Institute of Technology,No data found,No data found
370,Siliguri Institute of Technology - [SIT],No data found,No data found
371,Trichy Engineering College - [TEC],No data found,No data found
372,JSS Academy of Technical Education - [JSSATE],No data found,No data found
373,Vaagdevi College of Engineering - [VCOE],No data found,No data found
374,Jharkhand Rai University - [JRU],No data found,No data found
375,Shridhar University,"Shridhar University, School of Engineering And Technology","Pilani, Rajasthan"
375,Shridhar University,"Shridhar University, School of Business Studies","Pilani, Rajasthan"
376,University of Engineering and Management - [UEM],No data found,No data found
377,Amrita Vishwa Vidyapeetham,Amrita School of Communication - [ASCOM],"Coimbatore, Tamil Nadu"
377,Amrita Vishwa Vidyapeetham,Amrita School of Engineering - [ASE],"Coimbatore, Tamil Nadu"
377,Amrita Vishwa Vidyapeetham,Amrita School of Business - [ASB],"Coimbatore, Tamil Nadu"
377,Amrita Vishwa Vidyapeetham,Amrita School of Arts and Sciences - [ASAS],"Coimbatore, Tamil Nadu"
378,International Institute of Information Technology - [I²IT],No data found,No data found
379,CMR Engineering College - [CMREC],No data found,No data found
380,Lingaya's Vidyapeeth,No data found,No data found
381,Matrusri Engineering College,No data found,No data found
382,Vemana Institute of Technology,No data found,No data found
383,SRM University Delhi NCR,No data found,No data found
384,SRM University Sikkim,No data found,No data found
385,The Northcap University - [NCU],"NCU, School of Management and Liberal Studies","Gurgaon, Haryana"
385,The Northcap University - [NCU],"NCU, School of Law","Gurgaon, Haryana"
385,The Northcap University - [NCU],"School of Engineering and Technology, NCU - [SOET]","Gurgaon, Haryana"
386,LNCT University - [LNCTU],No data found,No data found
387,Jaipur Engineering College and Research Centre,No data found,No data found
388,Avantika University,No data found,No data found
389,Dayananda Sagar University - [DSU],No data found,No data found
390,C. U. Shah University,No data found,No data found
391,Techno Main Salt Lake,No data found,No data found
392,P.P. Savani University,No data found,No data found
393,VIT University - [VIT- AP],VIT-AP School of Business - [VSB],"Guntur, Andhra Pradesh"
393,VIT University - [VIT- AP],VIT-AP School of Law - [VSL],"Guntur, Andhra Pradesh"
394,Usha Martin University - [UMU],No data found,No data found
395,Sangai International University - [SIU],No data found,No data found
396,Pranveer Singh Institute of Technology - [PSIT],No data found,No data found
397,Rama University,"Rama University, Faculty of Medical Sciences","Kanpur, Uttar Pradesh"
397,Rama University,"Rama University, Faculty Of Dental Sciences","Kanpur, Uttar Pradesh"
397,Rama University,Rama Institute of Business Studies - [RIBS],"Kanpur, Uttar Pradesh"
397,Rama University,"Rama University, Faculty of Engineering & Technology","Kanpur, Uttar Pradesh"
397,Rama University,"Rama University, Faculty of Juridical Sciences (Law)","Kanpur, Uttar Pradesh"
397,Rama University,"Rama University, Faculty Of Commerce And Management","Kanpur, Uttar Pradesh"
398,Birla Institute of Technology - [BIT],No data found,No data found
399,Institute of Advanced Studies in Education - [IASE University],No data found,No data found
400,Jayoti Vidyapeeth Women's University - [JVWU],No data found,No data found
401,Anurag College of Engineering - [ACE],No data found,No data found
402,Agni College of Technology,No data found,No data found
403,Bengal College of Engineering and Technology - [BCET],No data found,No data found
404,Chandigarh Engineering College - [CEC] Landran,No data found,No data found
405,Delhi Technical Campus - [DTC],No data found,No data found
406,Dr. B.C. Roy Engineering College - [BCREC],No data found,No data found
407,Erode Sengunthar Engineering College,No data found,No data found
408,Geethanjali College of Engineering and Technology - [GCET] Keesara,No data found,No data found
409,IILM University,No data found,No data found
410,Inderprastha Engineering College - [IPEC],No data found,No data found
411,Kanpur Institute of Technology - [KIT],No data found,No data found
412,Kashi Institute of Technology - [KIT],No data found,No data found
413,Lakshmi Narain College of Technology - [LNCT],No data found,No data found
414,Meenakshi Sundararajan Engineering College - [MSEC],No data found,No data found
415,Nandha Engineering College - [NEC],No data found,No data found
416,Pragati Engineering College,No data found,No data found
417,Prathyusha Engineering College - [PEC],No data found,No data found
418,RCC Institute of Information Technology - [RCCIIT],No data found,No data found
419,RMD Engineering College,No data found,No data found
420,Sambhram Institute of Technology - [SAIT],No data found,No data found
421,Sphoorthy Engineering College - [SPHN],No data found,No data found
422,Sri Eshwar College of Engineering - [SECE],No data found,No data found
423,SJB Institute of Technology - [SJBIT],No data found,No data found
424,The Oxford College of Engineering,No data found,No data found
425,Bhilai Institute of Technology - [BITR],No data found,No data found
426,Jaipur Engineering College - [JEC],No data found,No data found
427,Vidyavardhaka College of Engineering - [VVCE],No data found,No data found
428,Vidya Jyothi Institute of Technology - [VJIT],No data found,No data found
429,GITAM,No data found,No data found
430,Modern Vidya Niketan - [MVN University],No data found,No data found
431,Arni University,No data found,No data found
432,Bahra University - [BU],No data found,No data found
433,Amrita Vishwa Vidyapeetham Bengaluru Campus,Amrita School of Business - [ASB],"Bangalore, Karnataka"
433,Amrita Vishwa Vidyapeetham Bengaluru Campus,Amrita School of Engineering - [ASE],"Bangalore, Karnataka"
434,Sangam University - [SU],No data found,No data found
435,Periyar Maniammai Institute of Science and Technology - [PMIST],No data found,No data found
436,Shri Venkateshwara University - [SVU],No data found,No data found
437,St Joseph College of Engineering,No data found,No data found
438,Lakshmi Narain College of Technology - [LNCT],No data found,No data found
439,GMR Institute of Technology - [GMRIT],No data found,No data found
440,Panimalar Institute of Technology-[PIT],No data found,No data found
441,Muthayammal Engineering College - [MEC],No data found,No data found
442,Technocrats Institute of Technology - [TIT] (Excellence),No data found,No data found
443,Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology - [Vel Tech],"Vel Tech Dr. RR & Dr. SR Technial University, Vel Tech Business School","Chennai, Tamil Nadu"
444,RNB Global University - [RNBGU],No data found,No data found
445,Axis Colleges,No data found,No data found
446,Amity University,No data found,No data found
447,Netaji Subhas Institute of Technology - [NSIT],No data found,No data found
448,Excel Engineering College,No data found,No data found
449,Muthayammal College of Engineering - [MCE],No data found,No data found
450,Sandip University,No data found,No data found
451,IIMT University - [IIMTU],No data found,No data found
452,Bengal College of Engineering - [BCE],No data found,No data found
453,Apex University - [AU],No data found,No data found
454,JSS Science and Technology University -[JSSSTU],No data found,No data found
455,Dev Bhoomi Uttarakhand University - [DBUU],No data found,No data found
456,Eternal University - [EU],No data found,No data found
457,Sardar Patel University - [SPUBGT],No data found,No data found
458,Aalim Muhammed Salegh College of Engineering - [AALIMEC],No data found,No data found
459,Accurate Institute of Management and Technology - [AIMT],No data found,No data found
460,Asians Institute of Technology,No data found,No data found
461,Bhoj Reddy Engineering College for Women,No data found,No data found
462,Budge Budge Institute of Technology - [BBIT],No data found,No data found
463,Calcutta Institute of Technology - [CIT],No data found,No data found
464,Camellia Institute of Technology - [CIT],No data found,No data found
465,City Engineering College - [CEC],No data found,No data found
466,Dream Institute of Technology,No data found,No data found
467,Jaya Engineering College - [JEC],No data found,No data found
468,KLN College of Engineering - [KLNCE],No data found,No data found
469,Kamaraj College of Engineering and Technology - [KCET],No data found,No data found
470,MCKV Institute of Engineering - [MCKVIE],No data found,No data found
471,Mahakal Institute of Technology - [MIT],No data found,No data found
472,Mangalam College of Engineering Ettumanoor - [MLM],No data found,No data found
473,Moradabad Institute of Technology - [MIT],No data found,No data found
474,Muffakham Jah College of Engineering & Technology - [MJCET],No data found,No data found
475,Nalla Malla Reddy Engineering College - [NMREC],No data found,No data found
476,Narasaraopeta Engineering College - [NEC],No data found,No data found
477,Oriental Institute of Science and Technology - [OIST],No data found,No data found
478,Sri Sai Ranganathan Engineering College - [SSREC],No data found,No data found
479,SKR Engineering College,No data found,No data found
480,Sagar Institute of Science and Technology - [SISTec] - Sagar Group of Institutions,No data found,No data found
481,Sai Vidya Institute of Technology - [SVIT],No data found,No data found
482,Sikkim Manipal Institute of Technology - [SMIT],No data found,No data found
483,Sri Ramakrishna Institute of Technology - [SRIT],No data found,No data found
484,Sri Shakthi Institute of Engineering and Technology - [SIET],No data found,No data found
485,Thejus Engineering College,No data found,No data found
486,Prestige Institute of Management & Research - [PIMR],No data found,No data found
487,JSPM Narhe Technical Campus - [JSPM NTC] Narhe,No data found,No data found
488,VSB Engineering College - [VSBEC],No data found,No data found
489,Vishnu Institute of Technology - [VIT],No data found,No data found
490,PSR Engineering College,No data found,No data found
491,Tula's Institute,No data found,No data found
492,Velalar College of Engineering and Technology -[VCET],No data found,No data found
493,Bhagwant University,"Bhagwant University, Department of Law","Ajmer, Rajasthan"
493,Bhagwant University,"Bhagwant University, Department of Engineering & Technology","Ajmer, Rajasthan"
493,Bhagwant University,"Bhagwant University, Department of Management","Ajmer, Rajasthan"
494,ICFAI University,No data found,No data found
495,United Group of Institutions - [UGI],No data found,No data found
496,Annamacharya Institute of Technology and Sciences,No data found,No data found
497,Babu Banarasi Das Institute of Technology & Management - [BBDITM],No data found,No data found
498,JB Institute of Technology - [JBIT],No data found,No data found
499,Malla Reddy Engineering College for Women - [MRECW],No data found,No data found
500,St. Peter's Institute of Higher Education and Research - [SPIHER],No data found,No data found
