Serial No.,College Name,Department,Location
160,NIST University,No data found,No data found
161,Silicon University,No data found,No data found
162,Centurion University of Technology and Management - [CUTM],No data found,No data found
163,Sanskriti University - [SU],No data found,No data found
164,Adamas University,No data found,No data found
165,Ganpat University - [GUNI],Mehsana Urban Institute of Sciences - [MUIS],"Mehsana, Gujarat"
165,Ganpat University - [GUNI],"Ganpat University, Department of Education","Mehsana, Gujarat"
165,Ganpat University - [GUNI],UV Patel College of Engineering - [UVPCE],"Mehsana, Gujarat"
165,Ganpat University - [GUNI],V. M. Patel Institute of Management - [VMPIM],"Mehsana, Gujarat"
165,Ganpat University - [GUNI],Ganpat University Institute of Computer Technology - [ICT],"Mehsana, Gujarat"
166,CEPT University,No data found,No data found
167,Birla Institute of Technology and Science - [BITS],No data found,No data found
168,Mahatma Gandhi Institute of Technology - [MGIT],No data found,No data found
169,Prasad V. Potluri Siddhartha Institute of Technology - [PVPSIT],No data found,No data found
170,RKDF University,No data found,No data found
171,SunRise University - [SRU],No data found,No data found
172,Uttaranchal University,No data found,No data found
173,OPJS University,No data found,No data found
174,"PDM University, Bahadurgarh",PDM Dental College and Research Institute,"Bahadurgarh, Haryana"
174,"PDM University, Bahadurgarh","Faculty of Pharmaceutical Sciences, PDM University","Bahadurgarh, Haryana"
174,"PDM University, Bahadurgarh",PDM Faculty of Engineering and Technology,"Bahadurgarh, Haryana"
175,Centurion University of Technology and Management - [CUTM],No data found,No data found
176,RKDF University,No data found,No data found
177,MLR Institute of Technology - [MLRIT],No data found,No data found
178,BML Munjal University - [BMU],"BML Munjal University, School of Engineering And Technology - [SOET]","Gurgaon, Haryana"
178,BML Munjal University - [BMU],"BML Munjal University, School of Management","Gurgaon, Haryana"
178,BML Munjal University - [BMU],"BML Munjal University, School of Law","Gurgaon, Haryana"
179,Shoolini University,"Faculty of Management Sciences and Liberal Arts, Shoolini University","Solan, Himachal Pradesh"
179,Shoolini University,"Faculty of Engineering and Technology, Shoolini University","Solan, Himachal Pradesh"
179,Shoolini University,"Faculty of Applied Sciences and Biotechnology, Shoolini University","Solan, Himachal Pradesh"
179,Shoolini University,"Faculty of Basic Sciences, Shoolini University","Solan, Himachal Pradesh"
179,Shoolini University,"Faculty of Pharmaceutical Sciences, Shoolini University","Solan, Himachal Pradesh"
179,Shoolini University,"Faculty of Legal Sciences, Shoolini University","Solan, Himachal Pradesh"
180,Banasthali Vidyapith,Women's Institute for Studies in Development Oriented Management - [WISDOM],"Jaipur, Rajasthan"
181,Amity University,No data found,No data found
182,CMR University - [CMRU],No data found,No data found
183,Bangalore Institute of Technology - [BIT],No data found,No data found
184,Poornima University - [PU],No data found,No data found
185,Sikkim Manipal University - [SMU],No data found,No data found
186,Monad University,"School of Engineering & Technology, Monad University - [SET]","Hapur, Uttar Pradesh"
186,Monad University,"Monad University, School of Management and Business Studies - [SMBS]","Hapur, Uttar Pradesh"
186,Monad University,"School of Agriculture and Applied Science, Monad University","Hapur, Uttar Pradesh"
186,Monad University,"Monad University, School of Law","Hapur, Uttar Pradesh"
187,Graphic Era University - [GEU],"Graphic Era University, School of Engineering and Technology - [GEU]","Dehradun, Uttarakhand"
187,Graphic Era University - [GEU],"Graphic Era University, School of Management - [SOM]","Dehradun, Uttarakhand"
188,Chandigarh Group of Colleges - [CGC] Landran,No data found,No data found
189,Mody University,"Mody University, School of Liberal Arts and Science - [SLAS]","Sikar, Rajasthan"
189,Mody University,"Mody University, School of Management Studies - [SMS]","Sikar, Rajasthan"
189,Mody University,"Mody University, School of Architecture & Town Planning-[SATP]","Sikar, Rajasthan"
189,Mody University,"Mody University, School of Engineering And Technology -[SOET]","Sikar, Rajasthan"
189,Mody University,"Mody University, College of Fashion Design And Merchandising -[CFDM]","Sikar, Rajasthan"
189,Mody University,"Mody University, School of Legal Studies-[SLS]","Sikar, Rajasthan"
190,Brainware University,No data found,No data found
