Serial No.,College Name,Location,URL
330,Vivekananda Global University - [VGU],Jaipur,https://collegedunia.com/university/54832-vivekananda-global-university-vgu-jaipur
331,Shri Ramswaroop Memorial University - [SRMU],Lucknow,https://collegedunia.com/university/54934-shri-ramswaroop-memorial-university-srmu-lucknow
332,Amity University,Ranchi,https://collegedunia.com/university/56503-amity-university-ranchi
333,Chandigarh Group of Colleges - [CGC] Jhanjeri,Mohali,https://collegedunia.com/college/57350-chandigarh-group-of-colleges-cgc-jhanjeri-mohali
334,PSG Institute of Technology and Applied Research - [PSG iTech],Coimbatore,https://collegedunia.com/college/57691-psg-institute-of-technology-and-applied-research-psg-itech-coimbatore
335,XIM University,Bhubaneswar,https://collegedunia.com/university/57960-xim-university-bhubaneswar
336,Swami Vivekanand University,Sagar,https://collegedunia.com/university/58430-swami-vivekanand-university-sagar
337,Mahaveer Institute of Engineering & Technology - [MIET],Meerut,https://collegedunia.com/college/58553-mahaveer-institute-of-engineering-and-technology-miet-meerut
338,Anant National University - [AnantU],Ahmedabad,https://collegedunia.com/university/59309-anant-national-university-anantu-ahmedabad
339,Atmiya University,Rajkot,https://collegedunia.com/university/59956-atmiya-university-rajkot
340,Acropolis Group of Institutions,Indore,https://collegedunia.com/college/59968-acropolis-group-of-institutions-indore
341,Echelon Institute of Technology,Faridabad,https://collegedunia.com/college/13433-echelon-institute-of-technology-faridabad
342,AISSMS College of Engineering - [AISSMSCOE],Pune,https://collegedunia.com/college/12779-aissms-college-of-engineering-aissmscoe-pune
343,Amal Jyothi College of Engineering - [AJCE],Kanjirappally,https://collegedunia.com/college/12792-amal-jyothi-college-of-engineering-ajce-kanjirappally
344,Bengal Institute of Technology - [BIT],Kolkata,https://collegedunia.com/college/13016-bengal-institute-of-technology-bit-kolkata
345,Bhagwan Parshuram Institute of Technology - [BPIT],New Delhi,https://collegedunia.com/college/13032-bhagwan-parshuram-institute-of-technology-bpit-new-delhi
346,Bhilai Institute of Technology - [BIT],Durg,https://collegedunia.com/college/13071-bhilai-institute-of-technology-bit-durg
347,Canara Engineering College - [CEC],Mangalore,https://collegedunia.com/college/13160-canara-engineering-college-cec-mangalore
348,DKTE Society's Textile and Engineering Institute - [DKTE],Kolhapur,https://collegedunia.com/college/13293-dkte-societys-textile-and-engineering-institute-dkte-kolhapur
349,East West Institute of Technology - [EWIT],Bangalore,https://collegedunia.com/college/13430-east-west-institute-of-technology-ewit-bangalore
350,GS Mandal's Marathwada Institute of Technology - [MIT],Aurangabad,https://collegedunia.com/college/13512-gs-mandals-marathwada-institute-of-technology-mit-aurangabad
351,Hindustan College of Engineering - [HCE],Kollam,https://collegedunia.com/college/13720-hindustan-college-of-engineering-hce-kollam
352,IMS Engineering College - [IMSEC],Ghaziabad,https://collegedunia.com/college/13759-ims-engineering-college-imsec-ghaziabad
353,Jayawantrao Sawant College of Engineering- [JSCOE],Pune,https://collegedunia.com/college/13872-jayawantrao-sawant-college-of-engineering-jscoe-pune
354,Jerusalem College of Engineering - [JCE],Chennai,https://collegedunia.com/college/13878-jerusalem-college-of-engineering-jce-chennai
355,Keshav Memorial Institute of Technology - [KMIT],Hyderabad,https://collegedunia.com/college/13998-keshav-memorial-institute-of-technology-kmit-hyderabad
356,MIT-WPU Faculty of Engineering,Pune,https://collegedunia.com/college/14137-mitwpu-faculty-of-engineering-pune
357,Maharashtra Institute of Technology - [MIT],Aurangabad,https://collegedunia.com/college/14205-maharashtra-institute-of-technology-mit-aurangabad
358,Mahendra Engineering College,Namakkal,https://collegedunia.com/college/14225-mahendra-engineering-college-namakkal
359,Malnad College of Engineering - [MCE],Hassan,https://collegedunia.com/college/14247-malnad-college-of-engineering-mce-hassan
360,Marian Engineering College - [MEC],Thiruvananthapuram,https://collegedunia.com/college/14287-marian-engineering-college-mec-thiruvananthapuram
361,Dr. Akhilesh Das Gupta Institute of Technology & Management - [ADGITM],New Delhi,https://collegedunia.com/college/14513-dr-akhilesh-das-gupta-institute-of-technology-and-management-adgitm-new-delhi
362,Pillai College of Engineering - [PCE] Navi Mumbai,Mumbai,https://collegedunia.com/college/14562-pillai-college-of-engineering-pce-navi-mumbai-mumbai
