Serial No.,College Name,Location,URL
418,RCC Institute of Information Technology - [RCCIIT],Kolkata,https://collegedunia.com/college/14641-rcc-institute-of-information-technology-rcciit-kolkata
419,RMD Engineering College,Thiruvallur,https://collegedunia.com/college/14657-rmd-engineering-college-thiruvallur
420,Sambhram Institute of Technology - [SAIT],Bangalore,https://collegedunia.com/college/14909-sambhram-institute-of-technology-sait-bangalore
421,Sphoorthy Engineering College - [SPHN],Hyderabad,https://collegedunia.com/college/15179-sphoorthy-engineering-college-sphn-hyderabad
422,Sri Eshwar College of Engineering - [SECE],Coimbatore,https://collegedunia.com/college/15212-sri-eshwar-college-of-engineering-sece-coimbatore
423,SJB Institute of Technology - [SJBIT],Bangalore,https://collegedunia.com/college/15217-sjb-institute-of-technology-sjbit-bangalore
424,The Oxford College of Engineering,Bangalore,https://collegedunia.com/college/15468-the-oxford-college-of-engineering-bangalore
425,Bhilai Institute of Technology - [BITR],Raipur,https://collegedunia.com/college/17369-bhilai-institute-of-technology-bitr-raipur
426,Jaipur Engineering College - [JEC],Jaipur,https://collegedunia.com/college/18176-jaipur-engineering-college-jec-jaipur
427,Vidyavardhaka College of Engineering - [VVCE],Mysore,https://collegedunia.com/college/19173-vidyavardhaka-college-of-engineering-vvce-mysore
428,Vidya Jyothi Institute of Technology - [VJIT],Hyderabad,https://collegedunia.com/college/24593-vidya-jyothi-institute-of-technology-vjit-hyderabad
429,GITAM,Visakhapatnam,https://collegedunia.com/university/25354-gitam-visakhapatnam
430,Modern Vidya Niketan - [MVN University],Palwal,https://collegedunia.com/university/25532-modern-vidya-niketan-mvn-university-palwal
431,Arni University,Kangra,https://collegedunia.com/university/25547-arni-university-kangra
432,Bahra University - [BU],Solan,https://collegedunia.com/university/25549-bahra-university-bu-solan
433,Amrita Vishwa Vidyapeetham Bengaluru Campus,Bangalore,https://collegedunia.com/university/25592-amrita-vishwa-vidyapeetham-bengaluru-campus-bangalore
434,Sangam University - [SU],Bhilwara,https://collegedunia.com/university/25844-sangam-university-su-bhilwara
435,Periyar Maniammai Institute of Science and Technology - [PMIST],Thanjavur,https://collegedunia.com/university/25891-periyar-maniammai-institute-of-science-and-technology-pmist-thanjavur
436,Shri Venkateshwara University - [SVU],Amroha,https://collegedunia.com/university/25975-shri-venkateshwara-university-svu-amroha
437,St Joseph College of Engineering,Chennai,https://collegedunia.com/college/28498-st-joseph-college-of-engineering-chennai
438,Lakshmi Narain College of Technology - [LNCT],Bhopal,https://collegedunia.com/college/28668-lakshmi-narain-college-of-technology-lnct-bhopal
439,GMR Institute of Technology - [GMRIT],Rajam,https://collegedunia.com/college/28671-gmr-institute-of-technology-gmrit-rajam
440,Panimalar Institute of Technology-[PIT],Chennai,https://collegedunia.com/college/28756-panimalar-institute-of-technologypit-chennai
441,Muthayammal Engineering College - [MEC],Namakkal,https://collegedunia.com/college/28824-muthayammal-engineering-college-mec-namakkal
442,Technocrats Institute of Technology - [TIT] (Excellence),Bhopal,https://collegedunia.com/college/28836-technocrats-institute-of-technology-tit-excellence-bhopal
443,Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology - [Vel Tech],Chennai,https://collegedunia.com/university/54852-vel-tech-rangarajan-dr-sagunthala-r-and-d-institute-of-science-and-technology-vel-tech-chennai
444,RNB Global University - [RNBGU],Bikaner,https://collegedunia.com/university/55795-rnb-global-university-rnbgu-bikaner
445,Axis Colleges,Kanpur,https://collegedunia.com/college/55890-axis-colleges-kanpur
446,Amity University,Greater Noida,https://collegedunia.com/university/56579-amity-university-greater-noida
447,Netaji Subhas Institute of Technology - [NSIT],Patna,https://collegedunia.com/college/57620-netaji-subhas-institute-of-technology-nsit-patna
448,Excel Engineering College,Namakkal,https://collegedunia.com/college/57775-excel-engineering-college-namakkal
449,Muthayammal College of Engineering - [MCE],Rasipuram,https://collegedunia.com/college/57807-muthayammal-college-of-engineering-mce-rasipuram
450,Sandip University,Nashik,https://collegedunia.com/university/58502-sandip-university-nashik
451,IIMT University - [IIMTU],Meerut,https://collegedunia.com/university/59031-iimt-university-iimtu-meerut
452,Bengal College of Engineering - [BCE],Durgapur,https://collegedunia.com/college/59104-bengal-college-of-engineering-bce-durgapur
453,Apex University - [AU],Jaipur,https://collegedunia.com/university/59939-apex-university-au-jaipur
454,JSS Science and Technology University -[JSSSTU],Mysore,https://collegedunia.com/university/60372-jss-science-and-technology-university-jssstu-mysore
455,Dev Bhoomi Uttarakhand University - [DBUU],Dehradun,https://collegedunia.com/university/63221-dev-bhoomi-uttarakhand-university-dbuu-dehradun
456,Eternal University - [EU],Sirmaur,https://collegedunia.com/university/25554-eternal-university-eu-sirmaur
457,Sardar Patel University - [SPUBGT],Balaghat,https://collegedunia.com/university/59925-sardar-patel-university-spubgt-balaghat
458,Aalim Muhammed Salegh College of Engineering - [AALIMEC],Chennai,https://collegedunia.com/college/12695-aalim-muhammed-salegh-college-of-engineering-aalimec-chennai
459,Accurate Institute of Management and Technology - [AIMT],Greater Noida,https://collegedunia.com/college/12713-accurate-institute-of-management-and-technology-aimt-greater-noida
460,Asians Institute of Technology,Jaipur,https://collegedunia.com/college/12897-asians-institute-of-technology-jaipur
461,Bhoj Reddy Engineering College for Women,Hyderabad,https://collegedunia.com/college/13078-bhoj-reddy-engineering-college-for-women-hyderabad
462,Budge Budge Institute of Technology - [BBIT],Kolkata,https://collegedunia.com/college/13117-budge-budge-institute-of-technology-bbit-kolkata
463,Calcutta Institute of Technology - [CIT],Howrah,https://collegedunia.com/college/13152-calcutta-institute-of-technology-cit-howrah
464,Camellia Institute of Technology - [CIT],Kolkata,https://collegedunia.com/college/13157-camellia-institute-of-technology-cit-kolkata
465,City Engineering College - [CEC],Bangalore,https://collegedunia.com/college/13230-city-engineering-college-cec-bangalore
466,Dream Institute of Technology,Kolkata,https://collegedunia.com/college/13412-dream-institute-of-technology-kolkata
467,Jaya Engineering College - [JEC],Chennai,https://collegedunia.com/college/13865-jaya-engineering-college-jec-chennai
468,KLN College of Engineering - [KLNCE],Sivaganga,https://collegedunia.com/college/13926-kln-college-of-engineering-klnce-sivaganga
469,Kamaraj College of Engineering and Technology - [KCET],Virudhunagar,https://collegedunia.com/college/13969-kamaraj-college-of-engineering-and-technology-kcet-virudhunagar
470,MCKV Institute of Engineering - [MCKVIE],Kolkata,https://collegedunia.com/college/14124-mckv-institute-of-engineering-mckvie-kolkata
471,Mahakal Institute of Technology - [MIT],Ujjain,https://collegedunia.com/college/14185-mahakal-institute-of-technology-mit-ujjain
472,Mangalam College of Engineering Ettumanoor - [MLM],Kottayam,https://collegedunia.com/college/14256-mangalam-college-of-engineering-ettumanoor-mlm-kottayam
473,Moradabad Institute of Technology - [MIT],Moradabad,https://collegedunia.com/college/14364-moradabad-institute-of-technology-mit-moradabad
474,Muffakham Jah College of Engineering & Technology - [MJCET],Hyderabad,https://collegedunia.com/college/14373-muffakham-jah-college-of-engineering-and-technology-mjcet-hyderabad
475,Nalla Malla Reddy Engineering College - [NMREC],Hyderabad,https://collegedunia.com/college/14417-nalla-malla-reddy-engineering-college-nmrec-hyderabad
476,Narasaraopeta Engineering College - [NEC],Narasaraopet,https://collegedunia.com/college/14426-narasaraopeta-engineering-college-nec-narasaraopet
477,Oriental Institute of Science and Technology - [OIST],Jabalpur,https://collegedunia.com/college/14532-oriental-institute-of-science-and-technology-oist-jabalpur
478,Sri Sai Ranganathan Engineering College - [SSREC],Coimbatore,https://collegedunia.com/college/14752-sri-sai-ranganathan-engineering-college-ssrec-coimbatore
479,SKR Engineering College,Chennai,https://collegedunia.com/college/14832-skr-engineering-college-chennai
480,Sagar Institute of Science and Technology - [SISTec] - Sagar Group of Institutions,Bhopal,https://collegedunia.com/college/14887-sagar-institute-of-science-and-technology-sistec-sagar-group-of-institutions-bhopal
481,Sai Vidya Institute of Technology - [SVIT],Bangalore,https://collegedunia.com/college/14901-sai-vidya-institute-of-technology-svit-bangalore
482,Sikkim Manipal Institute of Technology - [SMIT],East Sikkim,https://collegedunia.com/college/15134-sikkim-manipal-institute-of-technology-smit-east-sikkim
483,Sri Ramakrishna Institute of Technology - [SRIT],Coimbatore,https://collegedunia.com/college/15244-sri-ramakrishna-institute-of-technology-srit-coimbatore
484,Sri Shakthi Institute of Engineering and Technology - [SIET],Coimbatore,https://collegedunia.com/college/15259-sri-shakthi-institute-of-engineering-and-technology-siet-coimbatore
485,Thejus Engineering College,Thrissur,https://collegedunia.com/college/15473-thejus-engineering-college-thrissur
486,Prestige Institute of Management & Research - [PIMR],Bhopal,https://collegedunia.com/college/15492-prestige-institute-of-management-and-research-pimr-bhopal
487,JSPM Narhe Technical Campus - [JSPM NTC] Narhe,Pune,https://collegedunia.com/college/18154-jspm-narhe-technical-campus-jspm-ntc-narhe-pune
488,VSB Engineering College - [VSBEC],Karur,https://collegedunia.com/college/19113-vsb-engineering-college-vsbec-karur
489,Vishnu Institute of Technology - [VIT],Bhimavaram,https://collegedunia.com/college/19203-vishnu-institute-of-technology-vit-bhimavaram
490,PSR Engineering College,Virudhunagar,https://collegedunia.com/college/24316-psr-engineering-college-virudhunagar
491,Tula's Institute,Dehradun,https://collegedunia.com/college/24536-tulas-institute-dehradun
492,Velalar College of Engineering and Technology -[VCET],Erode,https://collegedunia.com/college/24589-velalar-college-of-engineering-and-technology-vcet-erode
493,Bhagwant University,Ajmer,https://collegedunia.com/university/25799-bhagwant-university-ajmer
494,ICFAI University,Jaipur,https://collegedunia.com/university/25809-icfai-university-jaipur
495,United Group of Institutions - [UGI],Greater Noida,https://collegedunia.com/college/28074-united-group-of-institutions-ugi-greater-noida
496,Annamacharya Institute of Technology and Sciences,Kadapa,https://collegedunia.com/college/28391-annamacharya-institute-of-technology-and-sciences-kadapa
497,Babu Banarasi Das Institute of Technology & Management - [BBDITM],Lucknow,https://collegedunia.com/college/28421-babu-banarasi-das-institute-of-technology-and-management-bbditm-lucknow
498,JB Institute of Technology - [JBIT],Dehradun,https://collegedunia.com/college/28468-jb-institute-of-technology-jbit-dehradun
499,Malla Reddy Engineering College for Women - [MRECW],Secunderabad,https://collegedunia.com/college/28750-malla-reddy-engineering-college-for-women-mrecw-secunderabad
500,St. Peter's Institute of Higher Education and Research - [SPIHER],Chennai,https://collegedunia.com/university/28970-st-peters-institute-of-higher-education-and-research-spiher-chennai
