Serial No.,College Name,Ranking Agency,Year,Rank
181,Amity University,B.Tech,2023 Ranking,#82|  out of 246 in  |India 2023
181,Amity University,B.Tech,2022 Ranking,#65|  out of 238 in  |India 2022
181,Amity University,Hotel Management,2024 Ranking,#32|  out of 76 in  |India 2024|#1st in Rajasthan
181,Amity University,Hotel Management,2023 Ranking,-
181,Amity University,Hotel Management,2022 Ranking,-
181,Amity University,Law,2024 Ranking,#46|  out of 66 in  |India 2024|#3rd in Rajasthan
181,Amity University,Law,2023 Ranking,#51|  out of 70 in  |India 2023|#2nd in Rajasthan
181,Amity University,Law,2022 Ranking,-
181,Amity University,MBA,2024 Ranking,#114|  out of 275 in  |India 2024
181,Amity University,MBA,2023 Ranking,#127|  out of 272 in  |India 2023|#7th in Rajasthan
181,Amity University,MBA,2022 Ranking,#134|  out of 281 in  |India 2022
181,Amity University,Mass Communications,2024 Ranking,#24|  out of 55 in  |India 2024|#1st in Rajasthan
181,Amity University,Mass Communications,2023 Ranking,#24|  out of 55 in  |India 2023|#1st in Rajasthan
181,Amity University,Mass Communications,2022 Ranking,#25|  out of 47 in  |India 2022|#1st in Rajasthan
181,Amity University,Science,2024 Ranking,#109|  out of 211 in  |India 2024|#4th in Rajasthan
181,Amity University,Science,2023 Ranking,#108|  out of 197 in  |India 2023|#4th in Rajasthan
181,Amity University,Science,2022 Ranking,-
181,Amity University,Fashion Design,2024 Ranking,#46|  out of 56 in  |India 2024|#3rd in Rajasthan
181,Amity University,Fashion Design,2023 Ranking,-
181,Amity University,Fashion Design,2022 Ranking,-
181,Amity University,BBA/BMS,2024 Ranking,#48|  out of 211 in  |India 2024|#3rd in Rajasthan
181,Amity University,BBA/BMS,2023 Ranking,-
181,Amity University,BBA/BMS,2022 Ranking,#57|  out of 182 in  |India 2022|#13th in Rajasthan
182,CMR University - [CMRU],Overall,2024 Ranking,-
182,CMR University - [CMRU],Overall,2023 Ranking,#281|  out of 281 in  |India 2023|#16th in Bangalore
182,CMR University - [CMRU],Overall,2022 Ranking,-
182,CMR University - [CMRU],B.Tech,2024 Ranking,-
182,CMR University - [CMRU],B.Tech,2023 Ranking,#246|  out of 246 in  |India 2023
182,CMR University - [CMRU],B.Tech,2022 Ranking,-
182,CMR University - [CMRU],Law,2024 Ranking,#29|  out of 66 in  |India 2024|#5th in Bangalore
182,CMR University - [CMRU],Law,2023 Ranking,#27|  out of 70 in  |India 2023|#5th in Bangalore
182,CMR University - [CMRU],Law,2022 Ranking,-
182,CMR University - [CMRU],MBA,2024 Ranking,-
182,CMR University - [CMRU],MBA,2023 Ranking,#224|  out of 272 in  |India 2023|#20th in Bangalore
182,CMR University - [CMRU],MBA,2022 Ranking,#241|  out of 281 in  |India 2022|#46th in Karnataka
183,Bangalore Institute of Technology - [BIT],B.Tech,2024 Ranking,#27|  out of 245 in  |India 2024|#4th in Bangalore
183,Bangalore Institute of Technology - [BIT],B.Tech,2023 Ranking,#53|  out of 131 in  |India 2023|#4th in Bangalore
183,Bangalore Institute of Technology - [BIT],B.Tech,2022 Ranking,#53|  out of 216 in  |India 2022|#3rd in Bangalore
184,Poornima University - [PU],Overall,2024 Ranking,#56|  out of 73 in  |India 2024
184,Poornima University - [PU],Overall,2023 Ranking,#255|  out of 281 in  |India 2023|#14th in Rajasthan
184,Poornima University - [PU],Overall,2022 Ranking,#53|  out of 62 in  |India 2022
184,Poornima University - [PU],Architecture,2024 Ranking,#33|  out of 45 in  |India 2024|#2nd in Rajasthan
184,Poornima University - [PU],Architecture,2023 Ranking,#35|  out of 40 in  |India 2023|#2nd in Rajasthan
184,Poornima University - [PU],Architecture,2022 Ranking,#33|  out of 41 in  |India 2022
184,Poornima University - [PU],Commerce,2024 Ranking,#121|  out of 229 in  |India 2024|#4th in Rajasthan
184,Poornima University - [PU],Commerce,2023 Ranking,#125|  out of 225 in  |India 2023|#5th in Rajasthan
184,Poornima University - [PU],Commerce,2022 Ranking,#128|  out of 212 in  |India 2022|#5th in Rajasthan
184,Poornima University - [PU],Computer Applications,2024 Ranking,#83|  out of 167 in  |India 2024|#5th in Rajasthan
184,Poornima University - [PU],Computer Applications,2023 Ranking,#86|  out of 170 in  |India 2023|#5th in Rajasthan
184,Poornima University - [PU],Computer Applications,2022 Ranking,#85|  out of 149 in  |India 2022|#6th in Rajasthan
184,Poornima University - [PU],B.Tech,2024 Ranking,#243|  out of 284 in  |India 2024|#13th in Rajasthan
184,Poornima University - [PU],B.Tech,2023 Ranking,#221|  out of 246 in  |India 2023
184,Poornima University - [PU],B.Tech,2022 Ranking,#224|  out of 238 in  |India 2022
184,Poornima University - [PU],MBA,2024 Ranking,#148|  out of 275 in  |India 2024|#13th in Rajasthan
184,Poornima University - [PU],MBA,2023 Ranking,#138|  out of 272 in  |India 2023|#8th in Rajasthan
184,Poornima University - [PU],MBA,2022 Ranking,-
184,Poornima University - [PU],Science,2024 Ranking,#162|  out of 211 in  |India 2024|#7th in Rajasthan
184,Poornima University - [PU],Science,2023 Ranking,#172|  out of 197 in  |India 2023|#11th in Rajasthan
184,Poornima University - [PU],Science,2022 Ranking,-
184,Poornima University - [PU],Fashion Design,2024 Ranking,#54|  out of 56 in  |India 2024|#5th in Rajasthan
184,Poornima University - [PU],Fashion Design,2023 Ranking,-
184,Poornima University - [PU],Fashion Design,2022 Ranking,-
184,Poornima University - [PU],BBA/BMS,2024 Ranking,#104|  out of 211 in  |India 2024
184,Poornima University - [PU],BBA/BMS,2023 Ranking,-
184,Poornima University - [PU],BBA/BMS,2022 Ranking,#114|  out of 182 in  |India 2022|#12th in Rajasthan
185,Sikkim Manipal University - [SMU],Overall,2024 Ranking,#20|  out of 73 in  |India 2024
185,Sikkim Manipal University - [SMU],Overall,2023 Ranking,#21|  out of 69 in  |India 2023
185,Sikkim Manipal University - [SMU],Arts,2024 Ranking,#163|  out of 186 in  |India 2024
185,Sikkim Manipal University - [SMU],Arts,2023 Ranking,#151|  out of 173 in  |India 2023
185,Sikkim Manipal University - [SMU],Commerce,2024 Ranking,#174|  out of 229 in  |India 2024|#2nd in Sikkim
185,Sikkim Manipal University - [SMU],Commerce,2023 Ranking,#175|  out of 225 in  |India 2023|#2nd in Sikkim
186,Monad University,Overall,2024 Ranking,#97|  out of 160 in  |India 2024
186,Monad University,Overall,2023 Ranking,#105|  out of 171 in  |India 2023
186,Monad University,Overall,2022 Ranking,#98|  out of 161 in  |India 2022
187,Graphic Era University - [GEU],No data found,No data found,No data found
188,Chandigarh Group of Colleges - [CGC] Landran,B.Tech,2024 Ranking,#85|  out of 284 in  |India 2024|#3rd in Punjab
188,Chandigarh Group of Colleges - [CGC] Landran,Fashion Design,2024 Ranking,#52|  out of 56 in  |India 2024|#4th in Punjab
189,Mody University,MBA,2020 Ranking,#160|  out of 292 in  |India 2020|#9th in Rajasthan
189,Mody University,MBA,2019 Ranking,#151|  out of 284 in  |India 2019|#11th in Rajasthan
190,Brainware University,BBA/BMS,2024 Ranking,#51|  out of 130 in  |India 2024|#3rd in Kolkata
190,Brainware University,BBA/BMS,2023 Ranking,#47|  out of 130 in  |India 2023|#3rd in Kolkata
191,Institute Technology & Management - [ITM],No data found,No data found,No data found
192,Sandip University,No data found,No data found,No data found
193,Malla Reddy Engineering College - [MREC],Overall,2023 Ranking,#154|  out of 281 in  |India 2023|#12th in Hyderabad
193,Malla Reddy Engineering College - [MREC],B.Tech,2023 Ranking,#122|  out of 246 in  |India 2023
194,Amity University,Overall,2024 Ranking,#17|  out of 73 in  |India 2024
194,Amity University,Overall,2023 Ranking,#95|  out of 281 in  |India 2023|#2nd in Haryana
194,Amity University,Overall,2022 Ranking,#17|  out of 62 in  |India 2022
194,Amity University,Arts,2024 Ranking,#84|  out of 186 in  |India 2024
194,Amity University,Arts,2023 Ranking,#85|  out of 173 in  |India 2023
194,Amity University,Arts,2022 Ranking,#89|  out of 171 in  |India 2022
194,Amity University,B.Tech,2024 Ranking,#94|  out of 284 in  |India 2024|#2nd in Haryana
194,Amity University,B.Tech,2023 Ranking,#64|  out of 246 in  |India 2023
194,Amity University,B.Tech,2022 Ranking,#72|  out of 238 in  |India 2022
194,Amity University,Law,2024 Ranking,#30|  out of 66 in  |India 2024|#1st in Haryana
194,Amity University,Law,2023 Ranking,#34|  out of 70 in  |India 2023|#1st in Haryana
194,Amity University,Law,2022 Ranking,#36|  out of 61 in  |India 2022|#1st in Haryana
194,Amity University,MBA,2024 Ranking,#92|  out of 275 in  |India 2024
194,Amity University,MBA,2023 Ranking,-
194,Amity University,MBA,2022 Ranking,-
194,Amity University,Mass Communications,2024 Ranking,-
194,Amity University,Mass Communications,2023 Ranking,#29|  out of 55 in  |India 2023
194,Amity University,Mass Communications,2022 Ranking,#28|  out of 47 in  |India 2022
194,Amity University,Science,2024 Ranking,#78|  out of 211 in  |India 2024|#1st in Haryana
194,Amity University,Science,2023 Ranking,#76|  out of 197 in  |India 2023|#1st in Haryana
194,Amity University,Science,2022 Ranking,#82|  out of 186 in  |India 2022|#1st in Haryana
194,Amity University,BBA/BMS,2024 Ranking,#37|  out of 211 in  |India 2024|#7th in Haryana
194,Amity University,BBA/BMS,2023 Ranking,-
194,Amity University,BBA/BMS,2022 Ranking,-
195,Shobhit University,Overall,2024 Ranking,#24|  out of 73 in  |India 2024
195,Shobhit University,Overall,2021 Ranking,-
195,Shobhit University,B.Tech,2024 Ranking,-
195,Shobhit University,B.Tech,2021 Ranking,#137|  out of 218 in  |India 2021
196,Sri Sri University - [SSU],Overall,2024 Ranking,#31|  out of 73 in  |India 2024
196,Sri Sri University - [SSU],MBA,2024 Ranking,#102|  out of 275 in  |India 2024|#4th in Odisha
197,Garden City University - [GCU],Overall,2021 Ranking,#91|  out of 178 in  |India 2021|#22nd in Bangalore
197,Garden City University - [GCU],Overall,2019 Ranking,-
197,Garden City University - [GCU],Arts,2021 Ranking,#96|  out of 162 in  |India 2021|#10th in Bangalore
197,Garden City University - [GCU],Arts,2019 Ranking,-
197,Garden City University - [GCU],Commerce,2021 Ranking,#128|  out of 200 in  |India 2021|#16th in Bangalore
197,Garden City University - [GCU],Commerce,2019 Ranking,-
197,Garden City University - [GCU],Hotel Management,2021 Ranking,#40|  out of 67 in  |India 2021|#5th in Bangalore
197,Garden City University - [GCU],Hotel Management,2019 Ranking,#39|  out of 50 in  |India 2019|#7th in Bangalore
197,Garden City University - [GCU],MBA,2021 Ranking,-
197,Garden City University - [GCU],MBA,2019 Ranking,#65|  out of 120 in  |India 2019|#11th in Bangalore
197,Garden City University - [GCU],Mass Communications,2021 Ranking,#36|  out of 47 in  |India 2021|#7th in Bangalore
197,Garden City University - [GCU],Mass Communications,2019 Ranking,-
197,Garden City University - [GCU],Science,2021 Ranking,#120|  out of 178 in  |India 2021|#10th in Bangalore
197,Garden City University - [GCU],Science,2019 Ranking,-
197,Garden City University - [GCU],Fashion Design,2021 Ranking,#31|  out of 46 in  |India 2021|#6th in Bangalore
197,Garden City University - [GCU],Fashion Design,2019 Ranking,-
197,Garden City University - [GCU],BBA/BMS,2021 Ranking,#91|  out of 178 in  |India 2021|#17th in Karnataka
197,Garden City University - [GCU],BBA/BMS,2019 Ranking,-
197,Garden City University - [GCU],BCA,2021 Ranking,#83|  out of 146 in  |India 2021|#14th in Bangalore
197,Garden City University - [GCU],BCA,2019 Ranking,-
198,Madras Institute of Technology- [MIT],B.Tech,2024 Ranking,#2|  out of 355 in  |Tamil Nadu 2024
199,Malla Reddy College of Engineering - [MRCE],B.Tech,2024 Ranking,#129|  out of 160 in  |India 2024
199,Malla Reddy College of Engineering - [MRCE],B.Tech,2023 Ranking,#135|  out of 160 in  |India 2023
199,Malla Reddy College of Engineering - [MRCE],B.Tech,2022 Ranking,#125-160|  out of 160 in  |India 2022
200,Indus University,Overall,2024 Ranking,#107|  out of 160 in  |India 2024
200,Indus University,Overall,2023 Ranking,#115|  out of 171 in  |India 2023
200,Indus University,Overall,2022 Ranking,#101|  out of 161 in  |India 2022
201,Academy of Maritime Education and Training University - [AMET],B.Tech,2024 Ranking,#170|  out of 245 in  |India 2024|#13th in Chennai
202,IFTM University,Pharmacy,2024 Ranking,#101-125|  out of 125 in  |India 2024|#12th in Uttar Pradesh
203,Marwadi University - [MU],Overall,2023 Ranking,#62|  out of 69 in  |India 2023
204,Glocal University,Overall,2024 Ranking,#150-200|  out of 200 in  |India 2024
204,Glocal University,Overall,2022 Ranking,#151-200|  out of 200 in  |India 2022
204,Glocal University,Pharmacy,2024 Ranking,#101-125|  out of 125 in  |India 2024|#12th in Uttar Pradesh
204,Glocal University,Pharmacy,2022 Ranking,-
205,Indraprastha Institute of Technology and Management - [IITM],Mass Communications,2023 Ranking,#80|  out of 100 in  |India 2023|#10th in New Delhi
206,SAGE University,Overall,2020 Ranking,#46|  out of 50 in  |India 2020
207,YBN University - [YBN],Overall,2024 Ranking,#50|  out of 50 in  |India 2024
208,RIMT University,Overall,2023 Ranking,#169|  out of 171 in  |India 2023
208,RIMT University,Overall,2022 Ranking,#150|  out of 161 in  |India 2022
209,AMC Engineering College - [AMC],B.Tech,2020 Ranking,#251|  out of 300 in  |India 2020|#14th in Bangalore
210,Aditya Engineering College - [AEC],Overall,2024 Ranking,-
210,Aditya Engineering College - [AEC],Overall,2023 Ranking,#257|  out of 281 in  |India 2023|#18th in Andhra Pradesh
210,Aditya Engineering College - [AEC],Overall,2022 Ranking,-
210,Aditya Engineering College - [AEC],B.Tech,2024 Ranking,#258|  out of 284 in  |India 2024|#19th in Andhra Pradesh
210,Aditya Engineering College - [AEC],B.Tech,2023 Ranking,#223|  out of 246 in  |India 2023
210,Aditya Engineering College - [AEC],B.Tech,2022 Ranking,#222|  out of 238 in  |India 2022
211,Maharaja Agrasen Institute of Technology - [MAIT],Overall,2024 Ranking,-
211,Maharaja Agrasen Institute of Technology - [MAIT],Overall,2023 Ranking,#43|  out of 281 in  |India 2023|#8th in New Delhi
211,Maharaja Agrasen Institute of Technology - [MAIT],Overall,2020 Ranking,-
211,Maharaja Agrasen Institute of Technology - [MAIT],Arts,2024 Ranking,#30|  out of 186 in  |India 2024|#14th in New Delhi
211,Maharaja Agrasen Institute of Technology - [MAIT],Arts,2023 Ranking,-
211,Maharaja Agrasen Institute of Technology - [MAIT],Arts,2020 Ranking,-
211,Maharaja Agrasen Institute of Technology - [MAIT],B.Tech,2024 Ranking,#41|  out of 284 in  |India 2024|#8th in New Delhi
211,Maharaja Agrasen Institute of Technology - [MAIT],B.Tech,2023 Ranking,#15|  out of 246 in  |India 2023
211,Maharaja Agrasen Institute of Technology - [MAIT],B.Tech,2020 Ranking,#41|  out of 200 in  |India 2020
211,Maharaja Agrasen Institute of Technology - [MAIT],Science,2024 Ranking,#26|  out of 211 in  |India 2024|#15th in New Delhi
211,Maharaja Agrasen Institute of Technology - [MAIT],Science,2023 Ranking,-
211,Maharaja Agrasen Institute of Technology - [MAIT],Science,2020 Ranking,-
212,Maharaja Surajmal Institute of Technology - [MSIT],Overall,2024 Ranking,-
212,Maharaja Surajmal Institute of Technology - [MSIT],Overall,2023 Ranking,#38|  out of 281 in  |India 2023|#7th in New Delhi
212,Maharaja Surajmal Institute of Technology - [MSIT],Overall,2022 Ranking,-
212,Maharaja Surajmal Institute of Technology - [MSIT],Computer Applications,2024 Ranking,-
212,Maharaja Surajmal Institute of Technology - [MSIT],Computer Applications,2023 Ranking,-
212,Maharaja Surajmal Institute of Technology - [MSIT],Computer Applications,2022 Ranking,#8|  out of 149 in  |India 2022|#1st in New Delhi
212,Maharaja Surajmal Institute of Technology - [MSIT],B.Tech,2024 Ranking,#35|  out of 284 in  |India 2024|#7th in New Delhi
212,Maharaja Surajmal Institute of Technology - [MSIT],B.Tech,2023 Ranking,#11|  out of 246 in  |India 2023
212,Maharaja Surajmal Institute of Technology - [MSIT],B.Tech,2022 Ranking,#15|  out of 238 in  |India 2022
213,Panimalar Engineering College,B.Tech,2024 Ranking,#201-300|  out of 300 in  |India 2024|#10th in Chennai
213,Panimalar Engineering College,B.Tech,2022 Ranking,#201-250|  out of 300 in  |India 2022|#16th in Chennai
213,Panimalar Engineering College,B.Tech,2021 Ranking,#251-300|  out of 300 in  |India 2021|#15th in Chennai
214,MATS University,Overall,2024 Ranking,#76|  out of 160 in  |India 2024
214,MATS University,Overall,2023 Ranking,#52|  out of 171 in  |India 2023
214,MATS University,Overall,2022 Ranking,#39|  out of 161 in  |India 2022
215,Suresh Gyan Vihar University - [SGVU],Overall,2024 Ranking,#151-200|  out of 200 in  |India 2024|#6th in Rajasthan
215,Suresh Gyan Vihar University - [SGVU],Overall,2023 Ranking,#151|  out of 200 in  |India 2023
215,Suresh Gyan Vihar University - [SGVU],Overall,2022 Ranking,#151-200|  out of 200 in  |India 2022
215,Suresh Gyan Vihar University - [SGVU],Pharmacy,2024 Ranking,#49|  out of 125 in  |India 2024|#4th in Rajasthan
215,Suresh Gyan Vihar University - [SGVU],Pharmacy,2023 Ranking,#59|  out of 125 in  |India 2023|#4th in Rajasthan
215,Suresh Gyan Vihar University - [SGVU],Pharmacy,2022 Ranking,#64|  out of 125 in  |India 2022|#4th in Rajasthan
216,Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University],Overall,2023 Ranking,-
216,Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University],Overall,2022 Ranking,-
216,Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University],Overall,2021 Ranking,#8|  out of 101 in  |India 2021|#1st in Tamil Nadu
216,Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University],B.Tech,2023 Ranking,-
216,Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University],B.Tech,2022 Ranking,#50|  out of 200 in  |India 2022|#12th in Tamil Nadu
216,Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University],B.Tech,2021 Ranking,#64|  out of 196 in  |India 2021|#13th in Tamil Nadu
216,Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University],MBA,2023 Ranking,-
216,Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University],MBA,2022 Ranking,#32|  out of 150 in  |India 2022|#1st in Tamil Nadu
216,Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University],MBA,2021 Ranking,-
216,Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University],BBA/BMS,2023 Ranking,#13|  out of 70 in  |India 2023
216,Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University],BBA/BMS,2022 Ranking,#6|  out of 70 in  |India 2022
216,Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University],BBA/BMS,2021 Ranking,#8|  out of 101 in  |India 2021|#1st in Tamil Nadu
217,Invertis University,Overall,2025 Ranking,#43|  out of 52 in  |India 2025
217,Invertis University,Overall,2024 Ranking,-
217,Invertis University,Overall,2023 Ranking,-
217,Invertis University,MBA,2025 Ranking,#144|  out of 200 in  |India 2025
217,Invertis University,MBA,2024 Ranking,#148|  out of 200 in  |India 2024
217,Invertis University,MBA,2023 Ranking,#151|  out of 200 in  |India 2023
218,Acropolis Institute of Technology & Research - [AITR],B.Tech,2022 Ranking,#88|  out of 200 in  |India 2022|#4th in Madhya Pradesh
219,Quantum University,Overall,2024 Ranking,#44|  out of 73 in  |India 2024
219,Quantum University,B.Tech,2024 Ranking,#113|  out of 284 in  |India 2024|#3rd in Uttarakhand
219,Quantum University,MBA,2024 Ranking,#147|  out of 275 in  |India 2024|#6th in Uttarakhand
220,SAGE University,Overall,2024 Ranking,#48|  out of 73 in  |India 2024
220,SAGE University,Overall,2023 Ranking,#56|  out of 69 in  |India 2023
220,SAGE University,Overall,2022 Ranking,#57|  out of 62 in  |India 2022
220,SAGE University,Commerce,2024 Ranking,#196|  out of 229 in  |India 2024|#8th in Madhya Pradesh
220,SAGE University,Commerce,2023 Ranking,-
220,SAGE University,Commerce,2022 Ranking,-
220,SAGE University,Law,2024 Ranking,#52|  out of 66 in  |India 2024|#6th in Madhya Pradesh
220,SAGE University,Law,2023 Ranking,#56|  out of 70 in  |India 2023|#5th in Madhya Pradesh
220,SAGE University,Law,2022 Ranking,-
220,SAGE University,MBA,2024 Ranking,#236|  out of 275 in  |India 2024|#11th in Madhya Pradesh
220,SAGE University,MBA,2023 Ranking,-
220,SAGE University,MBA,2022 Ranking,-
220,SAGE University,Science,2024 Ranking,#139|  out of 211 in  |India 2024|#4th in Madhya Pradesh
220,SAGE University,Science,2023 Ranking,#140|  out of 197 in  |India 2023|#4th in Madhya Pradesh
220,SAGE University,Science,2022 Ranking,-
220,SAGE University,BBA/BMS,2024 Ranking,#126|  out of 211 in  |India 2024
220,SAGE University,BBA/BMS,2023 Ranking,-
220,SAGE University,BBA/BMS,2022 Ranking,-
221,Model Institute of Engineering and Technology - [MIET],MBA,2024 Ranking,#207|  out of 275 in  |India 2024|#2nd in Jammu and Kashmir
221,Model Institute of Engineering and Technology - [MIET],MBA,2023 Ranking,#218|  out of 272 in  |India 2023|#2nd in Jammu and Kashmir
221,Model Institute of Engineering and Technology - [MIET],MBA,2022 Ranking,#236|  out of 281 in  |India 2022|#2nd in Jammu and Kashmir
222,RVR and JC College of Engineering,Overall,2024 Ranking,-
222,RVR and JC College of Engineering,Overall,2023 Ranking,#161|  out of 281 in  |India 2023|#8th in Andhra Pradesh
222,RVR and JC College of Engineering,B.Tech,2024 Ranking,#154|  out of 284 in  |India 2024|#9th in Andhra Pradesh
222,RVR and JC College of Engineering,B.Tech,2023 Ranking,#129|  out of 246 in  |India 2023
223,Rabindranath Tagore University - [RNTU],Overall,2024 Ranking,#41|  out of 73 in  |India 2024
223,Rabindranath Tagore University - [RNTU],Overall,2023 Ranking,#44|  out of 69 in  |India 2023
223,Rabindranath Tagore University - [RNTU],Overall,2022 Ranking,#34|  out of 62 in  |India 2022
224,Sister Nivedita University - [SNU],Overall,2025 Ranking,#46|  out of 52 in  |India 2025
224,Sister Nivedita University - [SNU],Overall,2024 Ranking,#40|  out of 50 in  |India 2024
224,Sister Nivedita University - [SNU],Overall,2023 Ranking,-
224,Sister Nivedita University - [SNU],B.Tech,2025 Ranking,-
224,Sister Nivedita University - [SNU],B.Tech,2024 Ranking,#113|  out of 160 in  |India 2024
224,Sister Nivedita University - [SNU],B.Tech,2023 Ranking,-
224,Sister Nivedita University - [SNU],MBA,2025 Ranking,#105|  out of 200 in  |India 2025
224,Sister Nivedita University - [SNU],MBA,2024 Ranking,#56|  out of 200 in  |India 2024
224,Sister Nivedita University - [SNU],MBA,2023 Ranking,#44|  out of 200 in  |India 2023
225,CMJ University,Mass Communications,2023 Ranking,#70|  out of 100 in  |India 2023
226,Mangalayatan University - [MU],Overall,2024 Ranking,#38|  out of 73 in  |India 2024
227,Navrachana University - [NUV],Overall,2024 Ranking,#26|  out of 160 in  |India 2024
227,Navrachana University - [NUV],Overall,2023 Ranking,#56|  out of 171 in  |India 2023
227,Navrachana University - [NUV],Overall,2022 Ranking,#43|  out of 161 in  |India 2022
227,Navrachana University - [NUV],B.Tech,2024 Ranking,#55|  out of 173 in  |India 2024
227,Navrachana University - [NUV],B.Tech,2023 Ranking,-
227,Navrachana University - [NUV],B.Tech,2022 Ranking,-
227,Navrachana University - [NUV],BCA,2024 Ranking,-
227,Navrachana University - [NUV],BCA,2023 Ranking,-
227,Navrachana University - [NUV],BCA,2022 Ranking,#87|  out of 100 in  |India 2022|#2nd in Gujarat
228,Amity University,Overall,2024 Ranking,#53|  out of 73 in  |India 2024
228,Amity University,MBA,2024 Ranking,#134|  out of 275 in  |India 2024
229,GLS University,Computer Applications,2023 Ranking,#42|  out of 170 in  |India 2023|#2nd in Ahmedabad
229,GLS University,Computer Applications,2019 Ranking,#24|  out of 100 in  |India 2019|#2nd in Ahmedabad
230,Karnavati University - [KU],Dental,2023 Ranking,#37|  out of 40 in  |India 2023|#2nd in Gujarat
230,Karnavati University - [KU],Dental,2022 Ranking,#31|  out of 40 in  |India 2022|#1st in Gujarat
231,Noida Institute of Engineering and Technology - [NIET],B.Tech,2020 Ranking,#129|  out of 191 in  |India 2020|#8th in Uttar Pradesh
232,ABES Engineering College,MBA,2020 Ranking,#146|  out of 292 in  |India 2020|#15th in Uttar Pradesh
233,Asansol Engineering College - [AEC],Overall,2024 Ranking,-
233,Asansol Engineering College - [AEC],Overall,2023 Ranking,#208|  out of 281 in  |India 2023|#6th in West Bengal
233,Asansol Engineering College - [AEC],Overall,2022 Ranking,-
233,Asansol Engineering College - [AEC],Computer Applications,2024 Ranking,#107|  out of 167 in  |India 2024|#2nd in West Bengal
233,Asansol Engineering College - [AEC],Computer Applications,2023 Ranking,#109|  out of 170 in  |India 2023|#3rd in West Bengal
233,Asansol Engineering College - [AEC],Computer Applications,2022 Ranking,#105|  out of 149 in  |India 2022|#4th in West Bengal
233,Asansol Engineering College - [AEC],B.Tech,2024 Ranking,#193|  out of 284 in  |India 2024|#7th in West Bengal
233,Asansol Engineering College - [AEC],B.Tech,2023 Ranking,#175|  out of 246 in  |India 2023
233,Asansol Engineering College - [AEC],B.Tech,2022 Ranking,#174|  out of 238 in  |India 2022
233,Asansol Engineering College - [AEC],BBA/BMS,2024 Ranking,#178|  out of 211 in  |India 2024
233,Asansol Engineering College - [AEC],BBA/BMS,2023 Ranking,-
233,Asansol Engineering College - [AEC],BBA/BMS,2022 Ranking,#165|  out of 182 in  |India 2022
234,Bharati Vidyapeeth's College of Engineering - [BVCOE],B.Tech,2021 Ranking,#12|  out of 218 in  |India 2021
235,Gudlavalleru Engineering College - [GEC],B.Tech,2019 Ranking,#130|  out of 147 in  |India 2019|#16th in Andhra Pradesh
236,Jaypee University of Engineering and Technology - [JUET],Overall,2024 Ranking,#72|  out of 160 in  |India 2024
236,Jaypee University of Engineering and Technology - [JUET],Overall,2023 Ranking,#70|  out of 171 in  |India 2023
236,Jaypee University of Engineering and Technology - [JUET],Overall,2022 Ranking,#58|  out of 161 in  |India 2022
237,Sri Venkateswara College of Engineering - [SVCE],Overall,2024 Ranking,-
237,Sri Venkateswara College of Engineering - [SVCE],Overall,2023 Ranking,#88|  out of 281 in  |India 2023|#2nd in Andhra Pradesh
237,Sri Venkateswara College of Engineering - [SVCE],Overall,2022 Ranking,-
237,Sri Venkateswara College of Engineering - [SVCE],B.Tech,2024 Ranking,#79|  out of 284 in  |India 2024|#2nd in Andhra Pradesh
237,Sri Venkateswara College of Engineering - [SVCE],B.Tech,2023 Ranking,#57|  out of 246 in  |India 2023
237,Sri Venkateswara College of Engineering - [SVCE],B.Tech,2022 Ranking,#57|  out of 238 in  |India 2022
238,Thadomal Shahani Engineering College - [TSEC],B.Tech,2024 Ranking,#91|  out of 245 in  |India 2024|#5th in Mumbai
238,Thadomal Shahani Engineering College - [TSEC],B.Tech,2023 Ranking,#123|  out of 131 in  |India 2023|#5th in Mumbai
238,Thadomal Shahani Engineering College - [TSEC],B.Tech,2020 Ranking,#60|  out of 191 in  |India 2020|#4th in Mumbai
239,Velammal Engineering College - [VEC],B.Tech,2020 Ranking,#251|  out of 300 in  |India 2020|#16th in Chennai
240,Oriental University - [OU],Overall,2024 Ranking,#58|  out of 73 in  |India 2024
240,Oriental University - [OU],Overall,2023 Ranking,#55|  out of 69 in  |India 2023
241,University of Science and Technology - [USTM],Overall,2024 Ranking,#150-200|  out of 200 in  |India 2024
241,University of Science and Technology - [USTM],Overall,2023 Ranking,#151|  out of 200 in  |India 2023
241,University of Science and Technology - [USTM],Overall,2022 Ranking,#151-200|  out of 200 in  |India 2022
242,Guru Kashi University,Agriculture,2024 Ranking,#6|  out of 13 in  |India 2024|#2nd in Punjab
243,Noida International University - [NIU],Architecture,2021 Ranking,#34|  out of 43 in  |India 2021|#6th in Uttar Pradesh
