Serial No.,College Name,Ranking Agency,Year,Rank
13,Sathyabama Institute of Science and Technology,Architecture,2023 Ranking,#18|  out of 40 in  |India 2023|#2nd in Chennai
13,Sathyabama Institute of Science and Technology,Architecture,2022 Ranking,#16|  out of 41 in  |India 2022|#2nd in Chennai
13,Sathyabama Institute of Science and Technology,B.Tech,2024 Ranking,#40|  out of 284 in  |India 2024|#1st in Chennai
13,Sathyabama Institute of Science and Technology,B.Tech,2023 Ranking,#14|  out of 246 in  |India 2023
13,Sathyabama Institute of Science and Technology,B.Tech,2022 Ranking,#20|  out of 238 in  |India 2022
14,Kalinga Institute of Industrial Technology - [KIIT],"Teaching, Learning & Resources (TLR)",No data found,69.63
14,Kalinga Institute of Industrial Technology - [KIIT],Research and Professional Practice (RP),No data found,38.02
14,Kalinga Institute of Industrial Technology - [KIIT],Graduation Outcomes (GO),No data found,78.87
14,Kalinga Institute of Industrial Technology - [KIIT],Outreach and Inclusivity (OI),No data found,80.13
14,Kalinga Institute of Industrial Technology - [KIIT],Peer Perception,No data found,40.08
15,Siksha 'O' Anusandhan University - [SOA],Dental,2024 Ranking,#20|  out of 49 in  |India 2024
15,Siksha 'O' Anusandhan University - [SOA],Dental,2020 Ranking,#18|  out of 30 in  |India 2020
15,Siksha 'O' Anusandhan University - [SOA],Dental,2019 Ranking,#16|  out of 22 in  |India 2019
15,Siksha 'O' Anusandhan University - [SOA],Hotel Management,2024 Ranking,-
15,Siksha 'O' Anusandhan University - [SOA],Hotel Management,2020 Ranking,-
15,Siksha 'O' Anusandhan University - [SOA],Hotel Management,2019 Ranking,#25|  out of 31 in  |India 2019
16,K L University - [KLU],Overall,2024 Ranking,#3|  out of 73 in  |India 2024
16,K L University - [KLU],Overall,2023 Ranking,#94|  out of 281 in  |India 2023|#3rd in Andhra Pradesh
16,K L University - [KLU],Overall,2022 Ranking,#3|  out of 62 in  |India 2022
16,K L University - [KLU],B.Tech,2024 Ranking,#84|  out of 284 in  |India 2024|#3rd in Andhra Pradesh
16,K L University - [KLU],B.Tech,2023 Ranking,#63|  out of 246 in  |India 2023
16,K L University - [KLU],B.Tech,2022 Ranking,-
16,K L University - [KLU],MBA,2024 Ranking,-
16,K L University - [KLU],MBA,2023 Ranking,#133|  out of 272 in  |India 2023
16,K L University - [KLU],MBA,2022 Ranking,#138|  out of 281 in  |India 2022
17,Kalasalingam Academy of Research and Education,B.Tech,2020 Ranking,#71|  out of 191 in  |India 2020|#13th in Tamil Nadu
17,Kalasalingam Academy of Research and Education,B.Tech,2019 Ranking,#67|  out of 130 in  |India 2019|#13th in Tamil Nadu
18,R V College of Engineering - [RVCE],Overall,2024 Ranking,-
18,R V College of Engineering - [RVCE],Overall,2023 Ranking,#27|  out of 281 in  |India 2023|#3rd in Bangalore
18,R V College of Engineering - [RVCE],Overall,2022 Ranking,-
18,R V College of Engineering - [RVCE],B.Tech,2024 Ranking,#28|  out of 284 in  |India 2024|#3rd in Bangalore
18,R V College of Engineering - [RVCE],B.Tech,2023 Ranking,#7|  out of 246 in  |India 2023
18,R V College of Engineering - [RVCE],B.Tech,2022 Ranking,#9|  out of 238 in  |India 2022
19,Ramaiah Institute of Technology - [RIT],Overall,2024 Ranking,-
19,Ramaiah Institute of Technology - [RIT],Overall,2023 Ranking,#25|  out of 281 in  |India 2023|#2nd in Bangalore
19,Ramaiah Institute of Technology - [RIT],Overall,2022 Ranking,-
19,Ramaiah Institute of Technology - [RIT],B.Tech,2024 Ranking,#25|  out of 284 in  |India 2024|#1st in Bangalore
19,Ramaiah Institute of Technology - [RIT],B.Tech,2023 Ranking,#6|  out of 246 in  |India 2023
19,Ramaiah Institute of Technology - [RIT],B.Tech,2022 Ranking,#8|  out of 238 in  |India 2022
20,International Institute of Information Technology - [IIIT-B],Overall,2021 Ranking,#29|  out of 34 in  |India 2021|#2nd in Karnataka
21,BMS College of Engineering - [BMSCE],Overall,2024 Ranking,-
